model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Fiesta,2016,Automatic,15268,Petrol,134.6725679,52.0,1.0,12309
 Focus,2015,Manual,66891,Diesel,0.0,74.3,1.5,7618
 Kuga,2018,Manual,12346,Diesel,149.65010282,54.8,2.0,16195
 Fiesta,2018,Automatic,35814,Petrol,147.40185872,58.5,1.0,9992
 Focus,2015,Manual,19786,Petrol,162.53643537,41.8,2.0,14566
 Focus,2017,Automatic,21144,Diesel,149.50213872,74.3,1.5,14230
 Focus,2018,Manual,28880,Petrol,148.40503762,57.8,1.0,13777
 Fiesta,2018,Manual,14505,Petrol,147.18776971,59.7,1.0,10894
 Grand C-MAX,2015,Manual,23211,Petrol,29.86235689,61.2,1.0,8926
 Fiesta,2017,Manual,16319,Petrol,129.55007613,54.9,1.2,8998
 Mondeo,2017,Manual,30148,Diesel,75.55610159,61.7,2.0,11995
 Kuga,2017,Automatic,9581,Diesel,145.49940286,59.4,1.5,13842
 Mondeo,2013,Manual,119330,Diesel,134.37520663,54.4,2.0,7973
 Focus,2017,Manual,22931,Petrol,147.53355225,42.1,2.0,18664
 Focus,2019,Manual,8044,Petrol,151.43557664,60.9,1.0,18390
 Focus,2018,Manual,7219,Petrol,145.44672762,60.3,1.0,15453
 Fiesta,2019,Manual,8963,Petrol,148.49792473,56.5,1.0,13494
 EcoSport,2017,Manual,25798,Petrol,148.95673518,52.8,1.0,9813
 Fiesta,2018,Manual,11797,Petrol,146.83846635,65.8,1.0,10996
 Fiesta,2015,Manual,34453,Petrol,133.00089025,54.8,1.2,7177
 Kuga,2016,Manual,29579,Diesel,129.46879342,61.2,2.0,11999
 Focus,2017,Manual,16010,Petrol,26.27451742,61.0,1.0,10987
 KA,2010,Manual,84283,Petrol,110.26646361,56.1,1.2,3504
 Focus,2020,Manual,14,Petrol,151.78242998,50.0,1.0,18048
 Fiesta,2019,Manual,9781,Petrol,149.11053787,58.9,1.0,13181
 Fiesta,2013,Manual,38783,Petrol,0.0,67.2,1.0,5805
 Fiesta,2016,Manual,33161,Petrol,0.0,65.7,1.0,9535
 Fiesta,2016,Manual,18376,Petrol,0.0,65.8,1.0,7223
 Focus,2009,Manual,120734,Diesel,238.51082057,47.2,1.6,3956
 Mondeo,2018,Manual,4036,Petrol,148.96133932,59.0,1.0,15591
 Kuga,2019,Automatic,3302,Petrol,149.59649169,38.2,1.5,20399
 Fiesta,2015,Manual,24056,Petrol,0.0,67.0,1.0,8035
 Fiesta,2017,Manual,37020,Petrol,20.31716601,63.7,1.0,9955
 Fiesta,2016,Automatic,29573,Petrol,126.77941661,55.2,1.2,8556
 Grand C-MAX,2016,Semi-Auto,15553,Petrol,152.25442071,55.1,2.0,11499
 Focus,2017,Manual,31042,Diesel,146.2053056,74.3,1.5,8993
 Grand C-MAX,2017,Manual,26264,Diesel,42.34528339,65.3,1.5,12274
 Ka+,2018,Manual,10045,Petrol,149.26836135,59.2,1.2,7600
 EcoSport,2017,Manual,39647,Petrol,145.31988107,52.6,1.0,9292
 Grand C-MAX,2017,Manual,28150,Diesel,115.62706593,65.1,1.5,11996
 EcoSport,2019,Manual,10016,Petrol,150.91817939,53.6,1.0,16992
 Fiesta,2017,Manual,28636,Petrol,153.57014477,62.8,1.0,8993
 Focus,2017,Automatic,19365,Petrol,149.51227003,44.9,1.5,12466
 Fiesta,2017,Automatic,16867,Petrol,148.35117702,58.5,1.0,9996
 Focus,2017,Manual,81222,Petrol,146.79562015,51.8,1.5,7976
 Fiesta,2016,Manual,3360,Petrol,127.52774153,55.0,1.2,8225
 Focus,2013,Manual,8255,Petrol,23.7061404,60.7,1.0,9432
 Focus,2017,Manual,17339,Petrol,154.67191176,60.9,1.0,11998
 Kuga,2016,Manual,31364,Diesel,130.53124557,61.2,2.0,12616
 Fiesta,2018,Manual,3685,Petrol,146.58794868,40.3,1.5,20188
 EcoSport,2018,Manual,17556,Petrol,147.26371998,54.4,1.0,13898
 Grand C-MAX,2017,Manual,27610,Petrol,95.53358382,64.5,1.0,8934
 Fiesta,2017,Semi-Auto,16934,Petrol,150.57769279,54.4,1.0,10836
 B-MAX,2017,Manual,8580,Petrol,116.9000815,55.6,1.0,11576
 EcoSport,2018,Manual,9333,Petrol,146.79207669,54.3,1.0,15101
 Fiesta,2018,Manual,32037,Petrol,146.27035962,63.4,1.0,12038
 Focus,2017,Manual,12754,Petrol,147.72288754,42.0,2.0,16391
 Focus,2014,Manual,51301,Diesel,0.0,74.3,1.5,6687
 Mondeo,2019,Manual,4163,Diesel,153.79799123,48.8,2.0,13045
 Fiesta,2014,Manual,26726,Petrol,146.65077788,54.4,1.2,6888
 Fiesta,2018,Manual,23907,Petrol,148.90651848,56.5,1.0,10492
 Kuga,2016,Manual,72020,Diesel,112.90616626,64.7,1.5,8991
 Fiesta,2016,Manual,15142,Petrol,164.86393312,47.9,1.6,9768
 Kuga,2016,Manual,45180,Diesel,25.84716484,60.2,2.0,11294
 Fiesta,2016,Manual,26044,Petrol,0.0,66.7,1.0,9500
 Fiesta,2017,Manual,6067,Petrol,153.03865758,65.7,1.0,10495
 Fiesta,2019,Manual,11225,Petrol,146.39229847,55.4,1.0,14992
 Galaxy,2013,Manual,72959,Diesel,160.22818971,45.5,1.6,7748
 C-MAX,2017,Manual,15755,Petrol,51.61275598,56.2,1.0,12646
 Fiesta,2015,Manual,44865,Diesel,0.0,88.3,1.5,7539
 Ka+,2018,Manual,16680,Petrol,147.31771106,57.9,1.2,8419
 Mondeo,2017,Manual,29241,Diesel,145.4222956,60.4,2.0,15747
 Grand C-MAX,2017,Manual,8470,Diesel,38.50176113,64.2,1.5,11500
 B-MAX,2016,Manual,9918,Petrol,59.84350062,56.1,1.0,8524
 Focus,2018,Automatic,3290,Diesel,145.95893534,67.8,1.5,12267
 Fiesta,2015,Manual,68289,Petrol,0.0,66.1,1.0,6945
 Fiesta,2010,Automatic,34207,Petrol,151.99509614,49.3,1.6,3600
 Puma,2019,Manual,391,Petrol,147.18008534,51.1,1.0,20567
 Focus,2018,Manual,16959,Petrol,149.31934967,57.8,1.0,14957
 Focus,2019,Manual,14416,Diesel,146.77520361,74.3,1.5,12610
 Focus,2018,Manual,32009,Petrol,147.37725426,41.6,2.0,17227
 Fiesta,2016,Semi-Auto,18335,Petrol,0.0,58.4,1.0,10213
 Tourneo Custom,2019,Manual,9679,Diesel,153.90139509,35.4,2.0,25391
 Fiesta,2017,Manual,17755,Petrol,0.0,66.1,1.0,10227
 Fiesta,2014,Manual,32959,Petrol,0.0,66.9,1.0,8459
 Focus,2015,Manual,12199,Petrol,29.10193558,60.7,1.0,11456
 Focus,2017,Manual,31942,Petrol,149.21314452,61.3,1.0,9444
 Fiesta,2018,Manual,7890,Petrol,148.19641675,59.6,1.0,16349
 Fiesta,2016,Manual,41017,Petrol,0.0,66.7,1.0,8427
 B-MAX,2016,Manual,38143,Petrol,103.63257158,56.4,1.0,6719
 Kuga,2018,Manual,23320,Petrol,154.91477057,39.5,1.5,15951
 Kuga,2017,Manual,38539,Diesel,134.33022704,61.1,2.0,15493
 Fiesta,2018,Manual,11004,Petrol,149.59986927,66.7,1.0,10940
 Galaxy,2017,Manual,41766,Diesel,131.89424256,56.5,2.0,19701
 Kuga,2015,Manual,9838,Diesel,109.28013198,64.2,1.5,12146
 Fiesta,2020,Semi-Auto,739,Petrol,145.58272794,48.9,1.0,16987
 Fiesta,2018,Manual,14010,Petrol,151.71239395,65.0,1.1,9778
 Focus,2017,Manual,34950,Diesel,23.90665942,68.8,2.0,14473
 Mondeo,2016,Manual,77276,Diesel,81.15248803,64.8,2.0,9999
 EcoSport,2017,Manual,17218,Petrol,145.21359144,45.3,1.5,10274
 Fiesta,2018,Manual,16914,Petrol,148.345443,59.9,1.0,11462
 Fiesta,2015,Manual,23020,Petrol,0.0,66.9,1.0,8510
 S-MAX,2016,Manual,23009,Diesel,132.89835876,56.5,2.0,17744
 B-MAX,2013,Manual,35546,Petrol,118.06517386,58.6,1.0,5220
 C-MAX,2017,Manual,11199,Diesel,127.21872046,60.7,2.0,14312
 Fiesta,2017,Manual,33368,Petrol,147.83362696,65.7,1.0,9915
 Focus,2018,Manual,16033,Petrol,149.093336,53.4,1.0,12033
 Mondeo,2009,Manual,74674,Diesel,66.48160631,64.0,2.0,2803
 Fiesta,2018,Manual,14329,Petrol,152.54256003,65.8,1.0,11510
 Fiesta,2018,Manual,11846,Petrol,147.8924692,63.0,1.0,11498
 Kuga,2017,Semi-Auto,17782,Diesel,149.63780783,54.6,2.0,17391
 Focus,2016,Manual,43688,Petrol,0.0,74.3,1.5,7369
 Fiesta,2017,Manual,21774,Petrol,148.10482999,66.6,1.0,11499
 Focus,2013,Manual,39881,Diesel,0.0,78.0,1.5,6529
 KA,2018,Manual,12026,Petrol,145.92327377,56.3,1.2,8162
 Fiesta,2018,Manual,4083,Petrol,154.61336109,55.6,1.1,11138
 Kuga,2018,Manual,12109,Diesel,145.25563448,38.2,2.0,17580
 Fiesta,2019,Manual,7955,Petrol,145.04810536,49.9,1.0,16500
 Focus,2017,Manual,15071,Petrol,149.25944482,61.6,2.0,15352
 Fiesta,2016,Manual,15227,Petrol,0.0,66.7,1.0,7974
 Focus,2017,Manual,15464,Diesel,20.09760628,68.5,2.0,17133
 Kuga,2015,Manual,13648,Diesel,133.41818295,61.0,2.0,13898
 Mustang,2018,Manual,20642,Petrol,146.44133922,65.9,1.0,10749
 Focus,2018,Manual,23482,Diesel,147.73852627,74.3,1.5,11612
 Mondeo,2016,Manual,57953,Petrol,230.12296413,49.5,1.5,8669
 Kuga,2017,Semi-Auto,32896,Diesel,146.71358313,65.1,1.5,14284
 Kuga,2018,Manual,11641,Diesel,149.52978641,54.6,1.5,17320
 Fiesta,2018,Manual,14805,Petrol,147.08403445,59.7,1.0,10668
 EcoSport,2018,Manual,35672,Petrol,154.05334669,52.4,1.0,12184
 Kuga,2017,Manual,11655,Diesel,153.81259498,55.0,2.0,17088
 EcoSport,2019,Automatic,2917,Petrol,152.08214394,45.6,1.0,17375
 C-MAX,2017,Manual,26434,Diesel,146.37200299,69.3,1.5,10667
 Fiesta,2019,Manual,14221,Petrol,145.08296988,59.5,1.0,10996
 Kuga,2017,Automatic,24472,Diesel,153.48163369,64.8,1.5,15874
 C-MAX,2013,Manual,35552,Diesel,21.05676587,60.0,1.6,6789
 Fiesta,2020,Manual,2988,Petrol,148.73425676,56.2,1.0,15123
 Fiesta,2017,Manual,24774,Petrol,145.84140142,65.9,1.0,10463
 Focus,2017,Manual,20340,Diesel,146.0723666,67.9,2.0,16494
 Fiesta,2019,Manual,3126,Petrol,146.7305326,61.3,1.0,13490
 Focus,2017,Manual,21987,Petrol,147.39740777,41.5,2.0,15301
 Fiesta,2017,Manual,17374,Petrol,145.19462034,49.0,1.0,12931
 Focus,2015,Manual,21942,Petrol,29.07270494,61.6,1.0,8517
 Kuga,2018,Semi-Auto,7664,Diesel,147.62656942,59.3,1.5,17397
 Fiesta,2018,Manual,64466,Diesel,147.66591052,70.2,1.5,10999
 Fiesta,2018,Manual,7306,Petrol,145.84418052,66.8,1.0,10441
 Focus,2019,Manual,6175,Petrol,148.46154329,51.5,1.0,15479
 Fiesta,2016,Manual,42199,Petrol,0.0,66.8,1.0,10998
 Fiesta,2017,Automatic,16419,Petrol,129.83054606,51.5,1.0,17916
 Fiesta,2018,Manual,23229,Petrol,149.29680829,66.0,1.0,10963
 Focus,2017,Manual,21549,Diesel,0.0,74.3,1.5,9755
 Fiesta,2018,Manual,5770,Petrol,149.58675636,67.1,1.0,12533
 Fiesta,2019,Manual,11677,Petrol,151.82655695,56.1,1.1,10496
 Fiesta,2009,Manual,113992,Petrol,20.24948053,63.9,1.0,3524
 Focus,2017,Automatic,9900,Petrol,146.9545886,74.3,1.5,13492
 Tourneo Connect,2019,Manual,9719,Petrol,148.90852666,52.5,1.0,15428
 Fiesta,2016,Manual,30801,Petrol,0.0,66.3,1.0,6667
 Focus,2019,Manual,8924,Petrol,146.10015674,60.1,1.0,16022
 Fiesta,2018,Automatic,11094,Petrol,147.80552294,54.3,1.0,13084
 Kuga,2017,Manual,18641,Diesel,154.68400501,54.8,2.0,16094
 Fiesta,2015,Manual,26018,Diesel,0.0,88.3,1.5,8746
 KA,2018,Manual,6873,Petrol,148.58166837,67.0,0.0,10443
 Focus,2019,Automatic,2829,Diesel,147.81896903,52.1,1.5,19225
 Focus,2019,Automatic,14720,Diesel,148.10979498,64.3,2.0,24119
 Fiesta,2016,Manual,23761,Petrol,0.0,66.9,1.0,10144
 Puma,2019,Manual,5103,Petrol,145.54852332,50.1,1.0,22010
 Focus,2017,Manual,22723,Petrol,145.29416916,61.1,1.0,10519
 Focus,2019,Automatic,4464,Diesel,148.716982,64.3,2.0,23746
 Fiesta,2017,Manual,13221,Petrol,146.42947157,66.1,1.0,9681
 Focus,2017,Manual,42168,Diesel,149.44451595,82.9,1.5,13837
 Fiesta,2016,Manual,13748,Petrol,126.46336081,54.9,1.2,6972
 Fiesta,2016,Automatic,17305,Petrol,128.79239622,54.8,1.2,10495
 Focus,2018,Manual,18200,Diesel,146.65608687,67.5,1.5,16245
 Fiesta,2018,Manual,17838,Petrol,145.56850126,65.8,0.0,11314
 Focus,2014,Manual,42339,Petrol,236.43835021,39.4,2.0,10498
 Kuga,2017,Manual,18567,Diesel,153.95059849,60.8,2.0,14830
 Fiesta,2019,Manual,191,Petrol,149.19727702,55.4,1.0,16984
 Fiesta,2015,Manual,15940,Petrol,127.43443621,54.7,1.2,8999
 Kuga,2018,Automatic,34219,Diesel,147.73294895,55.1,2.0,16943
 C-MAX,2017,Automatic,41784,Diesel,21.41573711,65.5,1.5,10998
 KA,2014,Manual,17024,Petrol,100.93847652,58.6,1.2,4378
 Focus,2013,Manual,67252,Petrol,23.58301731,62.1,1.0,6330
 Galaxy,2019,Manual,5748,Diesel,147.10536284,66.7,2.0,42553
 B-MAX,2013,Manual,32277,Petrol,47.74377293,56.3,1.0,6190
 Fiesta,2017,Manual,33439,Petrol,145.01947316,66.5,1.0,9039
 Kuga,2015,Manual,64817,Diesel,215.1938274,48.1,2.0,9908
 Fiesta,2018,Manual,7720,Petrol,147.51966083,66.3,1.0,12165
 Kuga,2017,Manual,38308,Diesel,163.68122473,46.2,1.5,12908
 Kuga,2016,Manual,15496,Petrol,126.11405605,56.5,2.0,17351
 Fiesta,2019,Manual,10363,Petrol,149.10237169,59.1,1.0,14675
 Kuga,2017,Manual,53829,Diesel,153.1386201,65.0,1.5,10830
 Fiesta,2019,Manual,1202,Petrol,146.18672688,59.4,1.0,14094
 Kuga,2017,Manual,18948,Diesel,0.0,53.5,1.5,13890
 Focus,2017,Manual,15431,Petrol,146.16377076,61.1,1.0,17273
 Fiesta,2018,Manual,18836,Petrol,153.1630215,66.9,1.0,10500
 Kuga,2018,Automatic,11200,Diesel,151.82524259,54.9,2.0,18426
 Galaxy,2018,Automatic,4063,Diesel,149.6273345,44.8,2.0,32187
 EcoSport,2017,Semi-Auto,8274,Petrol,160.68989449,45.5,1.5,12140
 C-MAX,2018,Manual,7358,Petrol,154.26669832,21.4,1.0,11924
 Ka+,2019,Manual,423,Petrol,146.46813888,43.9,1.2,11378
 Fiesta,2016,Automatic,22566,Petrol,0.0,57.7,1.0,10586
 Focus,2018,Manual,15724,Petrol,152.00633032,60.7,1.0,12530
 EcoSport,2017,Manual,38656,Petrol,149.47312492,53.2,1.0,8733
 Fiesta,2018,Automatic,22266,Petrol,146.80084039,49.5,1.0,12753
 Focus,2019,Automatic,629,Diesel,145.22231687,65.2,2.0,20480
 Fiesta,2017,Manual,13848,Petrol,145.57661105,66.4,1.0,9558
 B-MAX,2017,Manual,29757,Petrol,145.51474204,47.8,1.6,8533
 Focus,2015,Manual,10308,Petrol,76.501331,56.5,1.0,7117
 Focus,2018,Manual,14172,Diesel,147.54994504,72.3,2.0,16219
 Focus,2017,Manual,15339,Petrol,154.63833578,41.5,2.0,19588
 EcoSport,2019,Manual,852,Petrol,148.80883543,52.0,1.0,17810
 Ka+,2019,Manual,5,Petrol,145.57131008,47.9,1.2,12862
 KA,2017,Manual,9028,Petrol,147.6607291,58.8,1.2,8366
 Fiesta,2018,Manual,18593,Petrol,153.41668621,67.2,1.0,10004
 Fiesta,2017,Manual,12238,Petrol,148.69144301,62.8,1.0,10338
 Ka+,2019,Manual,14361,Petrol,145.39663495,43.5,1.2,9935
 Fiesta,2019,Semi-Auto,12684,Petrol,148.35588838,55.1,1.0,13035
 Focus,2019,Manual,11068,Petrol,149.26207176,50.2,2.3,37849
 Tourneo Custom,2016,Manual,35880,Diesel,146.94970957,60.9,2.0,16456
 C-MAX,2018,Manual,13090,Petrol,147.94521029,56.4,1.0,14559
 C-MAX,2018,Manual,9393,Diesel,146.94941238,62.0,1.5,9996
 Focus,2017,Manual,15847,Petrol,147.01179145,60.4,1.0,10333
 Mondeo,2007,Manual,36084,Diesel,304.52480688,80.2,1.6,2717
 Focus,2014,Manual,33644,Petrol,115.93382585,64.7,2.0,8086
 C-MAX,2012,Manual,65532,Petrol,133.60875402,53.4,1.0,6656
 Focus,2018,Automatic,13276,Petrol,148.38338715,41.3,1.0,13715
 Focus,2018,Manual,17101,Petrol,148.65459036,58.0,1.0,13021
 Fiesta,2017,Manual,15118,Petrol,148.15696214,66.6,1.0,8533
 Ka+,2018,Manual,11793,Petrol,153.31116484,57.9,1.2,8042
 C-MAX,2017,Manual,12220,Diesel,36.5203919,64.2,1.5,8371
 Ka+,2018,Manual,8603,Petrol,149.10327131,58.1,1.2,8548
 Focus,2019,Manual,1246,Diesel,145.56045116,74.3,1.5,15439
 Puma,2018,Manual,11418,Petrol,147.38986169,50.9,1.0,11740
 C-MAX,2014,Manual,76567,Diesel,162.78692499,66.8,1.6,7545
 Fiesta,2014,Manual,32795,Petrol,0.0,67.0,1.0,7608
 Fiesta,2016,Manual,34611,Petrol,0.0,66.7,1.0,8703
 Kuga,2017,Manual,25344,Diesel,130.01291168,60.1,2.0,16712
 Fiesta,2013,Manual,50299,Petrol,145.38422961,55.4,1.0,4485
 Fiesta,2014,Manual,60520,Petrol,0.0,65.9,1.0,6664
 Fiesta,2018,Manual,11059,Petrol,149.07771343,66.4,1.0,12166
 Tourneo Custom,2019,Manual,30008,Diesel,153.22835095,48.0,2.0,19452
 Ka+,2017,Manual,18755,Petrol,152.65161292,58.6,1.2,7960
 Kuga,2017,Manual,32254,Diesel,146.38818373,52.8,2.0,16951
 Focus,2018,Manual,20562,Petrol,147.84706242,41.9,1.0,10495
 Focus,2018,Manual,35370,Petrol,145.02364618,57.9,1.0,12212
 Fiesta,2017,Manual,21461,Petrol,149.30578183,66.4,1.0,8743
 Fiesta,2016,Manual,39445,Petrol,0.0,66.4,1.0,8560
 Fiesta,2018,Manual,7427,Petrol,149.94668543,66.4,1.0,11272
 Focus,2013,Manual,32270,Petrol,0.0,68.4,1.6,7590
 Focus,2018,Manual,18557,Petrol,146.68527818,41.6,2.0,18570
 Focus,2018,Manual,6078,Petrol,147.04670766,60.3,1.0,16016
 Fiesta,2018,Manual,90937,Petrol,151.43140699,59.6,1.0,10478
 Fiesta,2009,Manual,88781,Petrol,0.0,65.9,1.0,4385
 Kuga,2019,Manual,16237,Petrol,145.76769189,39.3,1.5,19973
 Fiesta,2016,Semi-Auto,27302,Petrol,0.0,58.6,1.0,8637
 Ka+,2018,Manual,8232,Petrol,154.28675392,43.8,1.2,10553
 Fiesta,2016,Manual,18739,Petrol,150.13465052,54.8,1.2,8075
 Tourneo Custom,2017,Manual,18208,Diesel,148.80426223,33.7,2.0,19773
 Focus,2018,Manual,4622,Petrol,152.35955447,60.6,1.0,11452
 EcoSport,2018,Manual,12994,Diesel,153.57139382,53.9,1.5,12652
 Kuga,2014,Manual,82121,Diesel,127.64441165,61.0,2.0,8992
 Fiesta,2010,Manual,107008,Diesel,0.0,86.0,1.5,1604
 C-MAX,2017,Manual,29843,Petrol,153.48863026,55.8,1.0,10499
 Fiesta,2014,Manual,40825,Petrol,0.0,66.4,1.0,7328
 Galaxy,2016,Automatic,17858,Diesel,49.56148013,56.5,2.0,15497
 Fiesta,2017,Manual,23212,Petrol,152.04715018,67.0,1.0,10102
 Puma,2018,Manual,23200,Petrol,149.54058371,41.5,2.0,18814
 Fiesta,2017,Manual,28704,Petrol,148.87464548,65.9,1.0,11463
 Focus,2017,Manual,11828,Petrol,145.39181207,51.4,1.5,12647
 Fiesta,2013,Manual,73895,Petrol,0.0,66.0,1.0,6133
 Fiesta,2019,Manual,671,Petrol,147.54131582,56.0,1.0,15639
 Fiesta,2017,Manual,10366,Petrol,0.0,67.2,1.0,9888
 Fiesta,2017,Manual,32153,Petrol,149.69451451,66.3,1.0,9466
 Focus,2018,Manual,13413,Petrol,147.1534708,60.9,1.0,12123
 Focus,2019,Semi-Auto,5876,Petrol,146.24624021,52.1,1.0,16016
 Focus,2018,Manual,51878,Petrol,148.63900838,41.8,2.0,12837
 Galaxy,2018,Manual,1795,Diesel,149.51803481,56.5,2.0,21496
 EcoSport,2018,Manual,29842,Petrol,153.28838722,54.1,1.0,10380
 Kuga,2019,Automatic,3481,Diesel,146.27953489,38.9,2.0,35652
 EcoSport,2018,Manual,9869,Petrol,145.69118554,54.3,1.0,12327
 Fiesta,2019,Manual,2583,Petrol,147.20549121,61.8,1.0,12652
 Focus,2018,Manual,12779,Petrol,145.05168406,58.6,1.0,13652
 Focus,2017,Semi-Auto,30063,Diesel,149.51982623,51.5,2.0,16503
 Ka+,2019,Manual,3998,Petrol,146.02945352,48.5,1.2,9999
 Ka+,2017,Manual,22602,Petrol,149.04775546,57.7,1.2,7330
 Fiesta,2013,Manual,21086,Petrol,148.72441177,48.6,1.6,9995
 Fiesta,2017,Manual,20888,Petrol,146.16874879,55.8,1.1,9828
 Fiesta,2019,Manual,2454,Petrol,148.47243737,59.6,1.0,14137
 Fiesta,2018,Manual,11000,Petrol,149.66129358,60.6,1.0,14320
 Focus,2019,Manual,9008,Diesel,148.86732104,74.3,1.5,17166
 Focus,2018,Manual,4938,Petrol,151.47113716,60.7,1.0,11334
 Tourneo Custom,2015,Semi-Auto,13881,Diesel,160.48379515,48.8,2.0,17886
 Focus,2014,Manual,75402,Petrol,42.92269035,56.5,1.0,4335
 Fiesta,2017,Manual,9504,Petrol,151.06946143,56.5,1.0,11140
 Focus,2015,Automatic,30072,Petrol,236.74177469,45.5,1.6,9497
 Fiesta,2016,Manual,14730,Petrol,147.05655875,63.2,1.0,9574
 Focus,2019,Manual,6780,Petrol,147.00384333,60.2,1.0,17390
 Fiesta,2018,Manual,4075,Petrol,148.17995641,66.0,1.0,12041
 Fiesta,2017,Manual,20288,Petrol,146.18456981,65.5,1.1,9990
 Fiesta,2017,Manual,22398,Petrol,0.0,58.1,1.0,8222
 EcoSport,2019,Manual,2697,Petrol,146.56034123,52.2,1.0,16919
 Fiesta,2015,Manual,6783,Petrol,132.93473528,54.9,1.2,6802
 Fiesta,2018,Manual,26827,Petrol,153.42011327,66.3,1.0,11997
 Fiesta,2018,Manual,17127,Petrol,151.7110302,66.7,1.0,9517
 C-MAX,2017,Manual,22428,Petrol,61.97187166,55.4,1.0,9547
 S-MAX,2019,Automatic,304,Diesel,147.47116394,42.6,2.0,23270
 EcoSport,2018,Manual,10295,Petrol,150.96867574,55.2,1.0,12171
 Tourneo Connect,2018,Manual,15050,Petrol,145.80711662,60.0,1.0,17524
 S-MAX,2016,Manual,22147,Diesel,108.53492108,56.5,2.0,16821
 Kuga,2014,Manual,64978,Diesel,24.2000628,68.5,2.0,9523
 EcoSport,2018,Manual,6895,Diesel,146.81322864,55.0,1.5,14663
 Fiesta,2019,Manual,1886,Petrol,147.56354524,51.0,1.0,15341
 Fiesta,2018,Manual,1798,Petrol,148.74677168,55.5,1.1,10764
 Fiesta,2017,Manual,23924,Petrol,151.00565711,64.1,1.0,11487
 Fiesta,2019,Manual,13309,Petrol,149.60540938,59.7,1.0,13999
 Kuga,2017,Manual,20773,Diesel,146.57807509,52.4,2.0,16364
 Fiesta,2019,Manual,5701,Petrol,146.66897194,60.0,1.1,12176
 Kuga,2015,Manual,54215,Diesel,145.89981535,55.2,2.0,11480
 Kuga,2019,Manual,10097,Diesel,151.78669098,48.2,2.0,21752
 Fiesta,2016,Manual,20156,Petrol,130.49201307,54.6,1.2,6801
 Focus,2019,Manual,3584,Petrol,146.39623198,59.8,1.0,16009
 Fiesta,2018,Manual,12213,Petrol,145.17771367,60.8,1.0,12370
 Focus,2018,Manual,13136,Petrol,149.57870495,60.6,1.0,15239
 Focus,2020,Manual,193,Petrol,148.20942737,56.5,1.0,16492
 C-MAX,2017,Manual,24188,Petrol,164.54148172,45.1,1.6,10609
 Focus,2018,Semi-Auto,15513,Diesel,146.32533256,64.6,1.5,16445
 Focus,2016,Automatic,16099,Diesel,20.43062947,64.5,2.0,13842
 Kuga,2017,Automatic,37400,Diesel,201.50338716,38.2,2.0,15199
 EcoSport,2018,Manual,15226,Petrol,149.00803564,55.3,1.0,10996
 Kuga,2018,Manual,7868,Petrol,146.97406731,39.4,1.5,18283
 Fiesta,2017,Manual,6182,Petrol,131.17150107,54.6,1.2,8055
 KA,2018,Manual,41118,Petrol,147.45332806,57.8,1.2,9126
 Mondeo,2019,Manual,4612,Diesel,149.75551136,66.4,2.0,13490
 Focus,2015,Manual,7674,Petrol,0.0,58.2,1.0,8217
 Galaxy,2019,Manual,10041,Diesel,150.94068168,56.3,2.0,24067
 Focus,2014,Manual,43704,Petrol,26.06002875,61.3,1.0,7219
 Fiesta,2017,Manual,20350,Petrol,125.13520436,54.7,1.2,7712
 Focus,2019,Manual,11977,Petrol,148.23243268,58.4,1.0,12394
 Grand C-MAX,2017,Manual,2512,Diesel,84.97860009,64.3,1.5,14646
 Kuga,2019,Manual,1181,Diesel,149.5257781,37.7,2.0,18645
 Galaxy,2015,Automatic,49432,Diesel,161.18025628,47.7,2.0,8990
 Kuga,2019,Manual,12865,Diesel,151.69388338,37.8,2.0,19246
 Ka+,2019,Manual,2,Petrol,148.61321945,48.5,1.2,12794
 EcoSport,2015,Manual,81196,Petrol,129.46770642,53.3,1.0,7547
 Fiesta,2018,Manual,9656,Petrol,148.94453812,66.1,1.0,10518
 EcoSport,2017,Manual,12053,Petrol,146.72624218,52.5,1.0,13997
 Fiesta,2016,Manual,27624,Petrol,131.61965489,55.2,1.2,7759
 Fiesta,2018,Manual,27685,Petrol,151.90923294,65.7,1.0,10622
 Fiesta,2017,Manual,38493,Petrol,133.85019409,54.9,1.2,8705
 Mondeo,2011,Manual,61629,Diesel,0.0,84.9,1.5,6486
 Fiesta,2016,Manual,8615,Petrol,148.66681715,48.0,1.6,9323
 Fiesta,2018,Manual,5899,Petrol,145.15273101,40.3,1.5,16490
 Fiesta,2018,Manual,9395,Petrol,146.69908376,55.4,1.1,8411
 Kuga,2017,Manual,24464,Diesel,147.44748164,55.0,2.0,15230
 C-MAX,2017,Manual,22517,Petrol,20.90540703,44.2,1.6,8531
 B-MAX,2017,Manual,41033,Petrol,147.92892025,58.7,1.0,9429
 Kuga,2017,Manual,20226,Diesel,163.317315,49.2,2.0,19214
 Kuga,2017,Manual,27744,Diesel,148.83399395,54.6,2.0,16018
 Fiesta,2012,Manual,27739,Diesel,21.28597769,70.3,1.5,6496
 Kuga,2015,Manual,36178,Diesel,200.68578721,45.9,1.5,12997
 Fiesta,2014,Manual,10519,Petrol,112.94826972,54.3,1.2,6733
 Fiesta,2015,Manual,26748,Petrol,131.5185892,54.9,1.2,7239
 Fiesta,2009,Manual,117370,Petrol,150.0428645,56.5,1.0,2105
 Fiesta,2019,Manual,7161,Petrol,148.20242009,59.7,1.0,14999
